gene	meth_pos	nb22	nb26	nb27	nc3	nc4	nc5	sb22	sb26	sb27	sc3	sc4	sc5
g29	133	0	0	0.07	0.06	0.03	0	0	0.03	0	0.03	0.05	0.03
g30	19	0	0	0	0	0	0	0	0	0	0.35	0	0.48
g31	1	0	0	0	0	0	0	0	0	0	0	0	5.56
g32	1	0	0	0	0	0	0	0	0	0	0	0	0
g33	0	0	0	0	0	0	0	0	0	0	0	0	0
g34	0	0	0	0	0	0	0	0	0	0	0	0	0
g35	5	90.14	78.55	87.1	82.94	88.26	92.96	98.89	100	100	98.57	100	100
g36	6	0	0	0	0	0	0	0	0	0	0	0	0
g37	2	0	0	0	0	0	0	0	0	0	0	0	0
g38	7	0	0	0	0	0	0	0	0	0	0	0	0.84
g39	4	0	0	0	0	0	0	0	0	0	0	0	0
g40	0	0	0	0	0	0	0	0	0	0	0	0	0
g41	0	0	0	0	0	0	0	0	0	0	0	0	0
g42	137	0.37	0.45	0.5	0.52	0.68	0.77	0.79	0.69	0.75	0.76	0.83	0.81
g43	0	0	0	0	0	0	0	0	0	0	0	0	0
g44	0	0	0	0	0	0	0	0	0	0	0	0	0
g45	46	0	0	0.14	0.14	0.36	0.06	0	0	0	0.33	0.26	0
g46	30	0	0	0	0	0	0.33	0	0	0	0	0	0
g47	0	0	0	0	0	0	0	0	0	0	0	0	0
g48	0	0	0	0	0	0	0	0	0	0	0	0	0
g49	13	0	0	0	0	0	0	0.21	0	0	0	0	0
g50	51	0	0.08	0	0.12	0	0	0.08	0	0	0.1	0	0
g51	54	0.15	0	0.12	0	0	0	0	0	0.19	0.14	0.17	0
g52	1	0	0	0	0	0	0	0	0	0	0	0	0
g53	0	0	0	0	0	0	0	0	0	0	0	0	0
g54	0	0	0	0	0	0	0	0	0	0	0	0	0
g55	0	0	0	0	0	0	0	0	0	0	0	0	0
g56	0	0	0	0	0	0	0	0	0	0	0	0	0
g57	0	0	0	0	0	0	0	0	0	0	0	0	0
g58	0	0	0	0	0	0	0	0	0	0	0	0	0
g59	0	0	0	0	0	0	0	0	0	0	0	0	0
g60	0	0	0	0	0	0	0	0	0	0	0	0	0
g61	13	42.77	47.84	34.67	35.91	60.36	47.65	62.62	72.74	78.97	86.73	91.91	79.4
g62	6	23.62	23.6	16.96	24.45	5.42	24.88	34.72	61.17	19.9	49.66	35.27	37.24
g63	0	0	0	0	0	0	0	0	0	0	0	0	0
g64	0	0	0	0	0	0	0	0	0	0	0	0	0
g65	0	0	0	0	0	0	0	0	0	0	0	0	0
g66	0	0	0	0	0	0	0	0	0	0	0	0	0
g67	0	0	0	0	0	0	0	0	0	0	0	0	0
g68	0	0	0	0	0	0	0	0	0	0	0	0	0
g69	23	7.07	7.91	8.36	7.3	8.5	8.44	8.41	8.7	8.7	8.7	8.44	8.33
g70	12	0	0	0	0	0	0	0	0	0	0	0	0
g71	10	0	1.39	0.67	0	0	0	0	0	0	0	0	0
g72	4	0	0	0	0	0	0	0	0	0	1.09	0	0
g73	46	0	0.11	0	0.11	0	0.08	0	0	0	0	0	0.09
g74	0	0	0	0	0	0	0	0	0	0	0	0	0
g75	0	0	0	0	0	0	0	0	0	0	0	0	0
g76	0	0	0	0	0	0	0	0	0	0	0	0	0
g77	0	0	0	0	0	0	0	0	0	0	0	0	0
g78	0	0	0	0	0	0	0	0	0	0	0	0	0
g79	0	0	0	0	0	0	0	0	0	0	0	0	0
g80	0	0	0	0	0	0	0	0	0	0	0	0	0
g81	0	0	0	0	0	0	0	0	0	0	0	0	0
g82	0	0	0	0	0	0	0	0	0	0	0	0	0
g83	227	0.51	0.13	0.05	0.07	0.09	0.44	0.01	0.01	0.04	0.04	0	0.01
g84	85	0	0	0.13	0.08	0.15	0	0	0.08	0.5	0.31	0.32	0
g85	181	0.51	0.11	0.23	0.11	0	0.43	0.05	0	0.02	0.06	0.06	0.05
g86	41	0	0	0	0	0	0	0	0	0	0	0	0.19
g87	0	0	0	0	0	0	0	0	0	0	0	0	0
g88	0	0	0	0	0	0	0	0	0	0	0	0	0
g89	0	0	0	0	0	0	0	0	0	0	0	0	0
g90	1	0	0	0	0	0	0	0	0	0	0	0	0
g91	12	0	0	0	0	0	0	0.33	0.27	0.4	0.52	0	0
g92	8	0	0	0	0	0	0	0	0	0	0	0	0
g93	0	0	0	0	0	0	0	0	0	0	0	0	0
g94	0	0	0	0	0	0	0	0	0	0	0	0	0
g95	32	0	0	0	0	0	0	0	0	0	0	0	0
g96	0	0	0	0	0	0	0	0	0	0	0	0	0
g97	0	0	0	0	0	0	0	0	0	0	0	0	0
g98	0	0	0	0	0	0	0	0	0	0	0	0	0
g99	20	0	0	0	0	0.24	0	0	0	0	0	0	0.22
g100	0	0	0	0	0	0	0	0	0	0	0	0	0
g101	23	2.83	4.23	1.35	2.83	7.26	4.58	0	2.26	0	0	0	0
g102	3	4.44	46.64	0	72.55	34.8	41.93	20	9.8	25.88	83.14	7.87	46.51
g103	0	0	0	0	0	0	0	0	0	0	0	0	0
g104	0	0	0	0	0	0	0	0	0	0	0	0	0
g105	0	0	0	0	0	0	0	0	0	0	0	0	0
g106	0	0	0	0	0	0	0	0	0	0	0	0	0
g107	15	5.49	4.24	5.88	6	6.51	6.19	7.26	6.67	6.9	6.67	6.67	6.67
g108	5	0	0	0	0	0	0	0	0	0	0	0	0
g109	12	6.25	6.25	6.82	6.82	5.7	7.14	7.05	8.7	8.33	8.33	8.33	8.33
g110	6	0.88	0	0	0	0	0	0	0	0	0	1.11	0
g111	116	6.26	1.99	11.27	15.69	4.35	14.61	23.89	0.48	34.57	24.06	0.4	24.63
g112	0	0	0	0	0	0	0	0	0	0	0	0	0
g113	1	0	0	0	0	0	0	0	0	0	0	0	0
g114	48	0.11	0	0	0	0	0.16	0.08	0	0	0	0	0
g115	65	0	0	0	0	0	0.14	0	0.13	0	0	0	0
g116	11	0	0.36	0.79	4.89	0	0	0	0	0	0	0	0
g117	0	0	0	0	0	0	0	0	0	0	0	0	0
g118	18	0	0	0	0	0	0	0	0	0	0	0	0
g119	5	0	0	0	0	0	0	0	0	0	0	0	0
g120	0	0	0	0	0	0	0	0	0	0	0	0	0
g121	52	0.08	0.16	0.09	0	0.79	0	0	0	0.07	0	1.21	0
g122	10	0	0	0	0	0	0	0	0	0	0	0	0
g123	37	0.27	0	0	0	0	0	0	0	0	0	0.23	0
g124	1	100	100	81.82	80	87.5	100	100	100	100	100	91.67	100
g125	20	0.57	0	0.21	3.86	0.46	0	0	0	0.4	0.65	0	0.31
g126	131	1.1	0.36	0.04	0.22	0.61	0.3	3.51	0	0.06	0.02	0	0.1
g127	1	0	0	0	0	0	0	0	0	0	0	0	0
g128	27	0.22	18.29	0.53	14.59	10.45	9.11	0	6.89	0	7.3	5.32	10.36
g129	17	4.41	0.08	0.38	0.08	0.05	0	10.94	0.09	3.21	0	0.18	0
g130	265	0.13	0.74	0.48	0.37	0.05	0.35	0.13	0.74	0.58	0.7	0.05	0.2
g131	0	0	0	0	0	0	0	0	0	0	0	0	0
g132	14	0	0	0.34	0	0	0	0	0.23	0	0	0	0.34
g133	39	0.45	1.19	2.02	2.56	1.88	0.8	0	0.91	1.09	2.56	2.03	0
g134	16	0	0	0	0	0.31	0	0	0	0.24	0	0	0
g135	47	0	0	0	0	0.11	0	0	0	0	0	0	0.1
g136	0	0	0	0	0	0	0	0	0	0	0	0	0
g137	1	0	0	0	0	0	0	0	0	0	0	0	0
g138	0	0	0	0	0	0	0	0	0	0	0	0	0
g139	35	0	0	0.13	0	0	0	0	0.24	0.17	0.14	0.22	0
g140	20	0	0	0.99	0	0.15	1.05	0	0.17	0	0	0	0
g141	12	6.58	8.13	8.76	1.33	2.94	4.57	5.43	0	0.51	0.38	1.44	2.78
g142	13	0	0	0	0	0	0	0.42	0	0	0	0	0
g143	61	2.97	2.48	0	5.96	0.88	5.96	0	0.06	0.23	0.13	0	0.08
g144	38	0.2	0.18	0.71	0.67	0	0	0	0	0.15	0	0	0.29
g145	40	43.07	43.52	48.85	44	41.95	48.48	52.91	49.46	53.98	54.42	49.87	54.32
g146	43	25.94	24.12	26.18	25.99	26.35	26.8	32.4	32.58	30.81	32.31	30.27	32.66
g147	0	0	0	0	0	0	0	0	0	0	0	0	0
g148	0	0	0	0	0	0	0	0	0	0	0	0	0
g149	0	0	0	0	0	0	0	0	0	0	0	0	0
g150	0	0	0	0	0	0	0	0	0	0	0	0	0
g151	0	0	0	0	0	0	0	0	0	0	0	0	0
g152	0	0	0	0	0	0	0	0	0	0	0	0	0
g153	0	0	0	0	0	0	0	0	0	0	0	0	0
g154	0	0	0	0	0	0	0	0	0	0	0	0	0
g155	0	0	0	0	0	0	0	0	0	0	0	0	0
g156	16	0.48	0.83	0.66	0	1.86	1.14	2.88	1.36	0.25	1.84	0	3.68
g157	33	6.63	8.24	9.49	7.46	9.1	10.82	11.49	12.24	11.28	11.01	10.63	12.12
g158	2	0	0	0	0	0	0	0	0	0	0	0	0
g159	0	0	0	0	0	0	0	0	0	0	0	0	0
g160	0	0	0	0	0	0	0	0	0	0	0	0	0
g161	0	0	0	0	0	0	0	0	0	0	0	0	0
g162	8	0	0	0	0	0	0	0	0	0	0	0	0
g163	35	2.85	2.16	3.26	2.57	3.24	3.62	2.86	2.86	2.86	2.86	2.86	2.86
g164	75	0.08	0	0	0	0.05	0.07	0.26	0	0	0	0	0
g165	0	0	0	0	0	0	0	0	0	0	0	0	0
g166	0	0	0	0	0	0	0	0	0	0	0	0	0
g167	30	2.92	2.44	3.33	3.03	3.17	3.12	3.33	3.33	3.33	3.33	3.59	3.33
g168	0	0	0	0	0	0	0	0	0	0	0	0	0
g169	16	0.52	0	0	0	0	0	0	0	0	0	0	0
g170	0	0	0	0	0	0	0	0	0	0	0	0	0
g171	9	90.5	89.13	88.04	92.17	95.12	95.84	100	100	97.58	100	97.21	94.21
g172	60	0	0	0	0	0	0	0	0	0	0	0	0.13
g173	2	88.34	70.84	70.84	72.73	88.34	84.39	97.5	100	100	100	95	100
g174	14	0	0	0	0	0	0	0	0	0	0	0	0
g175	25	0.22	0	0.15	1.56	0	0	0	0	0	0	0.31	0
g176	4	92.26	96.43	95.41	78.96	92.09	96.76	100	100	98.96	100	100	97.73
g177	1	80	38.46	78.95	66.67	68.97	82.61	100	100	100	84	92.86	100
g178	0	0	0	0	0	0	0	0	0	0	0	0	0
g179	7	0.84	4.4	0	6.49	0.89	0	0	6.12	0	6.57	0	0
g180	15	0	0	0	0	0	0	0.32	0	0	0.24	0	0
g181	45	0.53	0	0.61	0	0.25	0.19	0.39	0.11	0.2	0	0	0
g182	0	0	0	0	0	0	0	0	0	0	0	0	0
g183	7	0	0	0	0	0	0	0	0	0	0.89	0	0
g184	0	0	0	0	0	0	0	0	0	0	0	0	0
g185	2	69.85	43.18	69.85	78.46	3.12	54.55	100	96	95.72	100	9.54	80.65
g186	0	0	0	0	0	0	0	0	0	0	0	0	0
g187	18	68.6	59.66	84.87	62.46	72.46	56.88	99.74	99.27	99.74	97.83	99.5	99.36
g188	1	0	0	0	0	0	0	0	0	0	0	0	0
g189	0	0	0	0	0	0	0	0	0	0	0	0	0
g190	21	1.45	0.34	3.57	3.83	2.53	4.64	3.43	2.21	0.87	3.57	0	6.77
g191	55	0.21	1.08	0.25	0.33	0.18	1.56	0	2.15	0.33	0.5	0	2.77
g192	115	0.93	1.25	1.16	5.53	2.89	2.13	0.36	0.05	0	5.23	1.62	0.81
g193	21	1.96	0	5.26	0	1.15	0.76	0	0	3.9	0	0	0
g194	0	0	0	0	0	0	0	0	0	0	0	0	0
g195	0	0	0	0	0	0	0	0	0	0	0	0	0
g196	0	0	0	0	0	0	0	0	0	0	0	0	0
g197	10	0	0	0	0	0	0	0	0	1.41	0	0	0
g198	0	0	0	0	0	0	0	0	0	0	0	0	0
g199	0	0	0	0	0	0	0	0	0	0	0	0	0
g200	0	0	0	0	0	0	0	0	0	0	0	0	0
g201	69	0.09	0.14	0.63	0.29	0	0	0.19	0	0	0	0	0
g202	60	2.78	2.01	3.33	3.1	2.83	1.03	1.76	2.38	1.72	1.52	1.67	1.56
g203	5	0	0	0	0	0	0	0	0	0.61	0	0	0
g204	1	0	0	0	0	0	0	0	0	0	0	0	0
g205	0	0	0	0	0	0	0	0	0	0	0	0	0
g206	34	4.16	6.2	6.92	7.33	4.29	10.67	25.02	12.82	53.92	19.19	16.32	32.72
g207	0	0	0	0	0	0	0	0	0	0	0	0	0
g208	16	0	0.62	0.37	0	0	0	0	0.76	0	0	0.45	0
g209	0	0	0	0	0	0	0	0	0	0	0	0	0
g210	0	0	0	0	0	0	0	0	0	0	0	0	0
g211	0	0	0	0	0	0	0	0	0	0	0	0	0
g212	28	0	0	0.09	0	0	0	0.14	0.1	0.06	0	0	0
g213	195	0.21	0.12	0.09	0.6	0.39	0.14	0.03	0.03	0.09	0.03	0.04	0.06
g214	0	0	0	0	0	0	0	0	0	0	0	0	0
g215	0	0	0	0	0	0	0	0	0	0	0	0	0
g216	0	0	0	0	0	0	0	0	0	0	0	0	0
g217	132	30.01	29.54	28.79	30.95	30.55	26.95	29.14	31.4	25.13	30.46	28.93	29.01
g218	0	0	0	0	0	0	0	0	0	0	0	0	0
g219	24	0	0	0	0	0	0	0	0	0.22	0	0	0.28
g220	21	0.14	0	0	0	0.24	0	0.17	0	0	0	0	0
g221	7	0	0	0	0	0	0	0	0.71	0	0	0	0
g222	212	1.34	1.35	1.53	1.45	1.48	1.6	1.44	1.53	1.58	1.47	1.43	1.47
g223	0	0	0	0	0	0	0	0	0	0	0	0	0
g224	16	0	0	0	0	0	4.21	0	0	0	0	0	0
g225	52	0	0.14	0.11	0	0	0	0	0	0.12	0	0	0.07
g226	80	0	0.25	0	0	0.12	0	0.07	0.08	0.04	0	0	0
g227	45	0.31	0	0	0	0	0	0	0.17	0	0	0	0
g228	89	0.43	0.16	1.71	0.21	0.75	0.18	0.05	0	0.14	0.06	0.05	0.14
g229	0	0	0	0	0	0	0	0	0	0	0	0	0
g230	2	4.76	3.33	0	0	0	0	21.49	49.11	44.28	30.55	31.58	19.05
g231	147	0	0.04	0.22	0.19	0.06	0.04	0.15	0.1	0.04	0.07	0.07	0.03
g232	19	0	0.76	0.74	1	0.23	1.62	0	0	0.12	0	0.25	0
g233	6	0	0	0	0	0	1.39	0	0	0	0	0	2.85
g234	1	0	0	0	0	0	0	0	0	0	0	0	0
g235	30	0	0	0	0	0	0	0	0.13	0.11	0	0.18	0
g236	0	0	0	0	0	0	0	0	0	0	0	0	0
g237	6	7.78	2.78	6.67	3.33	13.38	11.54	15.28	1.75	5.95	5.55	15.28	15.83
g238	20	18.59	19.88	19.72	15.93	14.32	20.25	24.04	22.44	24.53	20.45	21.52	21.04
g239	0	0	0	0	0	0	0	0	0	0	0	0	0
g240	33	0.47	0	0	0	0.16	0	0	0	0.12	0.14	0	0
g241	0	0	0	0	0	0	0	0	0	0	0	0	0
g242	0	0	0	0	0	0	0	0	0	0	0	0	0
g243	10	0	0	0	0	0	0	0.59	0	0	0	0.48	0
g244	0	0	0	0	0	0	0	0	0	0	0	0	0
g245	0	0	0	0	0	0	0	0	0	0	0	0	0
g246	0	0	0	0	0	0	0	0	0	0	0	0	0
g247	4	0	10.87	0	2.27	0	0	0	9.26	0	0	1.56	0
g248	45	0	0	0	0	0	0	0	0	0	0	0	0
g249	0	0	0	0	0	0	0	0	0	0	0	0	0
g250	0	0	0	0	0	0	0	0	0	0	0	0	0
g251	0	0	0	0	0	0	0	0	0	0	0	0	0
g252	0	0	0	0	0	0	0	0	0	0	0	0	0
g253	15	17.11	18.72	19.26	15.96	17.83	17.14	20	18.71	20.22	20.48	20	19.23
g254	0	0	0	0	0	0	0	0	0	0	0	0	0
g255	0	0	0	0	0	0	0	0	0	0	0	0	0
g256	0	0	0	0	0	0	0	0	0	0	0	0	0
g257	2	87.84	96.43	78.12	79.52	90.38	84.13	100	100	100	100	100	100
g258	6	0	0	0	0	0	0	0	1.19	0	0	0	0
g259	25	0	0.33	0	0	0.24	0	0	0	0	0	0	0.21
g260	0	0	0	0	0	0	0	0	0	0	0	0	0
g261	0	0	0	0	0	0	0	0	0	0	0	0	0
g262	0	0	0	0	0	0	0	0	0	0	0	0	0
g263	2	50	40.91	38.46	50	43.75	40	50	50	47.37	50	50	45.84
g264	26	0	0	0	0	0	0	0	0.18	0	0.17	0	0
g265	0	0	0	0	0	0	0	0	0	0	0	0	0
g266	0	0	0	0	0	0	0	0	0	0	0	0	0
g267	26	1.32	3.35	0.18	10.19	2.48	5.38	4.34	2.34	0.37	6	1.72	2.8
g268	0	0	0	0	0	0	0	0	0	0	0	0	0
g269	10	0	0	0	0	0	0	0	0	0	0	0	0
g270	0	0	0	0	0	0	0	0	0	0	0	0	0
g271	0	0	0	0	0	0	0	0	0	0	0	0	0
g272	0	0	0	0	0	0	0	0	0	0	0	0	0
g273	0	0	0	0	0	0	0	0	0	0	0	0	0
g274	0	0	0	0	0	0	0	0	0	0	0	0	0
g275	32	0	0.12	0	0	0.08	0	0.22	0	0	0	0	0
g276	0	0	0	0	0	0	0	0	0	0	0	0	0
g277	23	0.23	0	0.15	0.33	0.11	0.32	0.13	0	0.47	0	0	0
g278	0	0	0	0	0	0	0	0	0	0	0	0	0
g279	0	0	0	0	0	0	0	0	0	0	0	0	0
g280	48	0	0	0	0	0	0	0.33	0	0	0	0	0
g281	7	0	0	0	0	0	0	0	0	0	0	0	0
g282	30	33.32	38.07	41.6	22.75	40.49	40.65	43.22	42.52	42.74	28.13	43.03	41.79
g283	21	0.56	0	0	0	0	0.62	0	0	0	0	0	0
g284	0	0	0	0	0	0	0	0	0	0	0	0	0
g285	47	0	0	0	0.16	0	0	0	0	0	0	0	0.14
g286	11	0	0	0	0	0	0	0	0	0	0	0	0
g287	21	0	0	0	0	0	0	0	0	0	0	0	0
g288	25	2.33	0	0	0	0	0.27	1.82	0	0.5	0	0.27	1.86
g289	0	0	0	0	0	0	0	0	0	0	0	0	0
g290	0	0	0	0	0	0	0	0	0	0	0	0	0
g291	0	0	0	0	0	0	0	0	0	0	0	0	0
g292	5	0	0	0	0	0	0	0	0	0	0	0	1.25
g293	34	0	0	0	0.24	0	0	0	0	0.16	0	0	0
g294	0	0	0	0	0	0	0	0	0	0	0	0	0
g295	6	0	0	0	0	0	0	0	0	0	0	0	0
g296	10	0	0	0	0	0	0	0	0	0	0	0	0
g297	0	0	0	0	0	0	0	0	0	0	0	0	0
g298	12	0.83	0	0.69	0	0.29	0	0	0	0.52	0	1.04	0
g299	3	0	0	0	0	0	0	0	0	0	0	0	0
g300	0	0	0	0	0	0	0	0	0	0	0	0	0
g301	0	0	0	0	0	0	0	0	0	0	0	0	0
g302	0	0	0	0	0	0	0	0	0	0	0	0	0
g303	82	0.24	0	0.32	0.64	0.13	1.49	0.07	0.05	1.37	1.64	0.07	1.16
g304	60	0.14	0.07	0.12	0	0.1	0	0	0	0	0	0	0.1
g305	49	0	0	0	0	0	0	0.06	0	0	0	0.09	0
g306	47	1.99	1.98	1.99	1.93	2.13	2.13	2.2	2.13	2.13	2.23	2.13	2.29
g307	3	30.3	25	28.57	22.22	31.94	22.22	33.33	33.33	31.94	33.33	33.33	26.67
g308	0	0	0	0	0	0	0	0	0	0	0	0	0
g309	0	0	0	0	0	0	0	0	0	0	0	0	0
g310	0	0	0	0	0	0	0	0	0	0	0	0	0
g311	1	0	0	0	0	0	0	0	11.76	0	0	0	4.17
g312	1	78.57	92.86	82.61	58.33	87.5	90	100	100	100	86.36	100	100
g313	0	0	0	0	0	0	0	0	0	0	0	0	0
g314	7	0	0	0	0	0	0.95	0	0	0	0	0	0
g315	24	0	0	0	0	0	0	0	0	0	0	0	0
g316	5	0	0	0	0	0	0	0	0	0	0	0	0
g317	0	0	0	0	0	0	0	0	0	0	0	0	0
g318	0	0	0	0	0	0	0	0	0	0	0	0	0
g319	0	0	0	0	0	0	0	0	0	0	0	0	0
g320	0	0	0	0	0	0	0	0	0	0	0	0	0
g321	0	0	0	0	0	0	0	0	0	0	0	0	0
g322	0	0	0	0	0	0	0	0	0	0	0	0	0
g323	7	61.82	61.38	64.17	65.15	65.45	63.19	69.41	70.09	68.83	71.43	70.41	70.33
g324	1	0	0	0	0	0	0	0	0	0	3.85	0	0
g325	159	0.27	0.03	0.41	0.18	0.11	0.03	0.1	0.02	0.07	0.06	0.04	0.17
g326	1	0	0	0	0	0	0	0	0	0	0	0	0
g327	120	0.28	0.62	0.65	1.94	1.3	0.21	0	0	0.14	0	0	0
g328	0	0	0	0	0	0	0	0	0	0	0	0	0
g329	11	0	0	0	0	0	0	0	0	0	0	0	0
g330	9	20.51	18.52	20.92	17.62	18.01	18.18	22.22	22.22	21.46	21.3	21.21	22.22
g331	2	0	0	0	0	0	0	0	0	0	0	0	4.54
g332	3	0	0	0	3.7	0	1.52	0	0	0	0	0	0
g333	3	24.14	39.54	37	42.55	30.1	40.18	77.3	95.83	95.54	93.89	90.57	100
g334	0	0	0	0	0	0	0	0	0	0	0	0	0
g335	86	1.44	1.19	0.84	1.15	1.6	0.41	0.34	0.09	0.03	0.06	0	0
g336	158	0.53	0.28	0.18	0.73	0.32	0.63	0.18	0.08	0.03	0.06	0.06	0.23
g337	9	0	0	0.31	0	0	0	0	0	0	0	0	0
g338	0	0	0	0	0	0	0	0	0	0	0	0	0
g339	1	0	0	0	0	0	0	0	0	0	0	0	0
g340	14	52.3	54.17	69.79	42.25	63.84	60.23	82.37	84.7	85.71	85.12	84.64	85.2
g341	17	0	0	0	0	0	0	0.22	0	0	0	0	0
g342	1	0	0	0	0	0	0	0	0	0	0	0	0
g343	10	0.83	1.44	0.67	0	0.37	0	0	0	0	0	0	0
g344	7	0	0	0	0	0	0	0	0	0	0	0	0
g345	0	0	0	0	0	0	0	0	0	0	0	0	0
g346	0	0	0	0	0	0	0	0	0	0	0	0	0
g347	7	24.04	0.68	17.67	39.14	44.97	27.77	71.58	62.89	30.26	74.82	81.48	44.49
g348	0	0	0	0	0	0	0	0	0	0	0	0	0
g349	0	0	0	0	0	0	0	0	0	0	0	0	0
g350	0	0	0	0	0	0	0	0	0	0	0	0	0
g351	32	0	0	0.21	0	0.14	0	0	0	0	0	0	0
g352	23	0	0.62	0.18	0	0	0	0	0	0	0	0	0
g353	6	0	0	0	0	0	0	0	0	0	0	0	0
g354	31	0.2	0	0	0	0	0	0	0	0	0.19	0	0
g355	10	0.62	0	0	0	0	10.89	0	0	0.5	0.93	0	14.84
g356	0	0	0	0	0	0	0	0	0	0	0	0	0
g357	1	87.5	92.86	96.15	93.33	100	94.44	100	100	100	100	100	100
g358	12	0	0	0	0.69	0.7	0	0	0	0	0	0	0
g359	96	3.42	3.47	3.59	4.22	3.59	3.34	3.54	3.21	3.31	3.74	3.88	3.14
g360	0	0	0	0	0	0	0	0	0	0	0	0	0
g361	4	88.46	71.3	78.11	82.82	66.31	73.19	85.78	98.33	80	86.54	100	94.79
g362	37	13.59	12.09	12.34	10.22	12.26	12.21	13.51	13.51	13.3	13.51	13.51	13.51
g363	31	5.46	5.94	5.44	6.7	5.83	6.03	6.45	6.45	6.24	6.45	6.45	6.45
g364	12	0	0	0	0	0	0	0	0	0	0	0	0
g365	0	0	0	0	0	0	0	0	0	0	0	0	0
g366	54	4.84	6.77	11.9	5.79	5.37	5.24	8.91	14.83	18.87	13.02	6.49	10.27
g367	1	42.11	84.62	30	60	68.75	40	100	96.3	88.46	100	100	91.67
g368	3	0	0	0	0	0	0	0	0	0	0	0	0
g369	0	0	0	0	0	0	0	0	0	0	0	0	0
g370	112	15.06	17.99	16.49	15.16	17.33	18.04	15.08	20.27	18.69	14.83	20.43	20.38
g371	0	0	0	0	0	0	0	0	0	0	0	0	0
g372	0	0	0	0	0	0	0	0	0	0	0	0	0
g373	0	0	0	0	0	0	0	0	0	0	0	0	0
g374	0	0	0	0	0	0	0	0	0	0	0	0	0
g375	0	0	0	0	0	0	0	0	0	0	0	0	0
g376	0	0	0	0	0	0	0	0	0	0	0	0	0
g377	42	0.44	0.81	1.19	0.56	1.47	0.74	0.32	0.89	0.46	4.09	0.2	0.27
g378	23	2.84	5.39	1.79	3.27	2.13	3.18	0.06	0.84	0	5.4	0	0.25
g379	2	52.27	13.3	18.45	4.17	37.5	9.54	100	55.05	75.92	40.98	84.07	9.54
g380	0	0	0	0	0	0	0	0	0	0	0	0	0
g381	41	43.53	29.35	21.13	22.97	25.34	16.87	71.97	51.41	56.21	30.41	71.97	37.81
g382	0	0	0	0	0	0	0	0	0	0	0	0	0
g383	0	0	0	0	0	0	0	0	0	0	0	0	0
g384	0	0	0	0	0	0	0	0	0	0	0	0	0
g385	0	0	0	0	0	0	0	0	0	0	0	0	0
g386	0	0	0	0	0	0	0	0	0	0	0	0	0
g387	0	0	0	0	0	0	0	0	0	0	0	0	0
g388	25	0.2	0.36	0	0	0	0	0	0	0.18	0	0	0
g389	33	0.15	0.47	0.31	0.17	0	0.31	0	0	0	0	0	0
g390	20	0	0	0	0	0.23	0	0	0	0	0	0	0
g391	16	0	0	0	0	0	0	0	0	0.23	0	0	0
g392	2	5.88	0	0	4.17	0	0	36.54	0	0	18.18	4.54	5.55
g393	24	0	0	0	0	0.41	0	0	0	0.1	0	0	0
g394	0	0	0	0	0	0	0	0	0	0	0	0	0
g395	0	0	0	0	0	0	0	0	0	0	0	0	0
g397	10	0	0	0	0	0	0	0	0	0	0	0	0
g398	87	0	0	0	0	0	0.09	0.25	0.16	0.05	0	0.1	0
g399	52	0.29	0.3	0.91	0	0.18	0.5	0	0.1	0	0	0	0
g400	61	0	0	0.37	0	0.29	0	0	0	0	0	0.14	0
g401	0	0	0	0	0	0	0	0	0	0	0	0	0
g402	0	0	0	0	0	0	0	0	0	0	0	0	0
