gene	meth_pos	meth_density	mean_meth
g128	27	1350	17.89
g129	17	850	8.59
tRNA-Glu2_gene	0	0	0
tRNA-Val3_gene	0	0	0
tRNA-Val4_gene	0	0	0
tRNA-Glu5_gene	0	0	0
tRNA-Val6_gene	0	0	0
g130	265	13250	0.73
g131	0	0	0
g132	14	700	0.21
g133	39	1950	2.67
g134	16	800	0.12
g135	47	2350	0.04
g136	0	0	0
g137	1	50	0
g138	0	0	0
g139	35	1750	0.17
g140	20	1000	0.45
g141	12	600	9.42
g142	13	650	0.15
g143	61	3050	2.98
g144	38	1900	0.37
g145	40	2000	107
g146	43	2150	60.12
g147	0	0	0
g148	0	0	0
g149	0	0	0
g150	0	0	0
g151	0	0	0
g152	0	0	0
g153	0	0	0
g154	0	0	0
g155	0	0	0
g156	16	800	3.06
g157	33	1650	22.73
g158	2	100	0
g159	0	0	0
g160	0	0	0
g161	0	0	0
g162	8	400	0
g163	35	1750	5.83
g164	75	3750	0.11
g165	0	0	0
g166	0	0	0
g167	30	1500	5.87
g168	0	0	0
g169	16	800	0.06
g170	0	0	0
g171	9	450	202.11
g172	60	3000	0.03
g173	2	100	164
g174	14	700	0
g175	25	1250	0.28
g176	4	200	187
g177	1	50	183
g178	0	0	0
g179	7	350	4
g180	15	750	0.13
g181	45	2250	0.44
g182	0	0	0
g183	7	350	0.14
g184	0	0	0
g185	2	100	159.5
g186	0	0	0
g187	18	900	181.11
g188	1	50	0
g189	0	0	0
g190	21	1050	5.81
g191	55	2750	1.56
g192	115	5750	3.7
g193	21	1050	2.19
g194	0	0	0
g195	0	0	0
g196	0	0	0
g197	10	500	0.3
g198	0	0	0
g199	0	0	0
g200	0	0	0
g201	69	3450	0.2
g202	60	3000	4.97
g203	5	250	0.2
g204	1	50	0
g205	0	0	0
g206	34	1700	108.24
g207	0	0	0
g208	16	800	0.31
g209	0	0	0
g210	0	0	0
g211	0	0	0
g212	28	1400	0.18
g213	195	9750	0.67
g214	0	0	0
g215	0	0	0
g216	0	0	0
tRNA-Thr7_gene	0	0	0
tRNA-Thr8_gene	0	0	0
tRNA-Thr24_gene	0	0	0
tRNA-Thr23_gene	4	200	0.5
tRNA-Thr22_gene	1	50	2
tRNA-Thr21_gene	0	0	0
tRNA-Thr20_gene	1	50	2
tRNA-Thr19_gene	4	200	0.25
tRNA-Thr18_gene	1	50	0
tRNA-Thr17_gene	4	200	0
tRNA-Thr16_gene	0	0	0
tRNA-Thr15_gene	4	200	0.25
tRNA-Thr14_gene	0	0	0
tRNA-Thr13_gene	0	0	0
tRNA-Thr12_gene	0	0	0
tRNA-Thr11_gene	0	0	0
tRNA-Thr10_gene	0	0	0
tRNA-Thr9_gene	0	0	0
g217	132	6600	73.12
g218	0	0	0
g219	24	1200	0.08
g220	21	1050	0.14
g221	7	350	0.14
g222	212	10600	3.06
g223	0	0	0
g224	16	800	0.5
g225	52	2600	0.1
g226	80	4000	0.11
g227	45	2250	0.09
g228	89	4450	0.64
g229	0	0	0
g230	2	100	42
g231	147	7350	0.18
g232	19	950	0.74
g233	6	300	0.83
g234	1	50	0
g235	30	1500	0.1
g236	0	0	0
g237	6	300	18.83
g238	20	1000	47.6
g239	0	0	0
g240	33	1650	0.15
g241	0	0	0
g242	0	0	0
g243	10	500	0.3
g244	0	0	0
g245	0	0	0
g246	0	0	0
g247	4	200	5.5
g248	45	2250	0
g249	0	0	0
g250	0	0	0
g251	0	0	0
g252	0	0	0
g253	15	750	39.27
g254	0	0	0
g255	0	0	0
g256	0	0	0
g257	2	100	211
g258	6	300	0.17
g259	25	1250	0.12
g260	0	0	0
g261	0	0	0
g262	0	0	0
g263	2	100	80
g264	26	1300	0.08
g265	0	0	0
g266	0	0	0
g267	26	1300	11.81
g268	0	0	0
g269	10	500	0
g270	0	0	0
g271	0	0	0
g272	0	0	0
g273	0	0	0
g274	0	0	0
g275	32	1600	0.09
g276	0	0	0
g277	23	1150	0.43
g278	0	0	0
g279	0	0	0
g280	48	2400	0.04
g281	7	350	0
g282	30	1500	90.17
g283	21	1050	0.19
g284	0	0	0
g285	47	2350	0.04
g286	11	550	0
g287	21	1050	0
g288	25	1250	1.12
g289	0	0	0
g290	0	0	0
g291	0	0	0
g292	5	250	0.2
g293	34	1700	0.06
g294	0	0	0
g295	6	300	0
g296	10	500	0
g297	0	0	0
g298	12	600	0.58
g299	3	150	0
g300	0	0	0
g301	0	0	0
g302	0	0	0
g303	82	4100	1.41
g304	60	3000	0.1
g305	49	2450	0.04
g306	47	2350	3.72
g307	3	150	53
g308	0	0	0
g309	0	0	0
g310	0	0	0
g311	1	50	3
g312	1	50	180
g313	0	0	0
g314	7	350	0.14
g315	24	1200	0
g316	5	250	0
g317	0	0	0
g318	0	0	0
g319	0	0	0
g320	0	0	0
g321	0	0	0
g322	0	0	0
g323	7	350	146.57
g324	1	50	1
g325	159	7950	0.26
g326	1	50	0
g327	120	6000	0.93
g328	0	0	0
g329	11	550	0
g330	9	450	40.11
g331	2	100	0.5
g332	3	150	1
g333	3	150	155
g334	0	0	0
g335	86	4300	1.78
g336	158	7900	1.04
g337	9	450	0.11
g338	0	0	0
g339	1	50	0
g340	14	700	144.79
g341	17	850	0.06
g342	1	50	0
g343	10	500	0.5
g344	7	350	0
g345	0	0	0
g346	0	0	0
g347	7	350	117
g348	0	0	0
g349	0	0	0
g350	0	0	0
g351	32	1600	0.06
g352	23	1150	0.13
g353	6	300	0
g354	31	1550	0.06
g355	10	500	3.3
g356	0	0	0
g357	1	50	231
g358	12	600	0.25
g359	96	4800	7.56
g360	0	0	0
g361	4	200	162.75
g362	37	1850	27.97
g363	31	1550	12.45
g364	12	600	0
g365	0	0	0
g366	54	2700	19.09
g367	1	50	164
g368	3	150	0
g369	0	0	0
g370	112	5600	38.58
g371	0	0	0
g372	0	0	0
g373	0	0	0
g374	0	0	0
g375	0	0	0
g376	0	0	0
g377	42	2100	7.29
g378	23	1150	16.91
g379	2	100	80.5
g380	0	0	0
g381	41	2050	147.02
g382	0	0	0
g383	0	0	0
g384	0	0	0
g385	0	0	0
g386	0	0	0
g387	0	0	0
g388	25	1250	0.12
g389	33	1650	0.24
g390	20	1000	0.05
g391	16	800	0.06
g392	2	100	15
g393	24	1200	0.12
g394	0	0	0
g395	0	0	0
g397	10	500	0
g398	87	4350	0.11
g399	52	2600	0.31
g400	61	3050	0.13
g401	0	0	0
g402	0	0	0
g403	46	2300	0.59
g404	7	350	180.29
g405	0	0	0
g406	36	1800	0
g407	4	200	0
g408	4	200	79.5
g409	0	0	0
g410	0	0	0
g411	0	0	0
g412	0	0	0
g413	60	3000	0.05
g414	50	2500	0.1
g415	0	0	0
g416	27	1350	0.11
g417	15	750	0.07
g418	0	0	0
g419	38	1900	25.47
g420	0	0	0
g421	24	1200	35.46
g422	19	950	70.63
g423	0	0	0
g424	0	0	0
g425	41	2050	0.17
g426	10	500	0
g427	0	0	0
g428	109	5450	0.09
g429	0	0	0
g430	5	250	0.4
g431	0	0	0
g432	0	0	0
g433	32	1600	0
g434	0	0	0
g435	0	0	0
g436	0	0	0
g437	0	0	0
g438	0	0	0
g439	1	50	0
g440	0	0	0
g441	0	0	0
g442	0	0	0
g443	0	0	0
g444	0	0	0
g445	3	150	0
g446	56	2800	0.05
g447	90	4500	0.08
g448	0	0	0
g449	9	450	0.11
g450	52	2600	219.98
g451	0	0	0
g453	0	0	0
g454	0	0	0
g455	0	0	0
g456	0	0	0
g457	0	0	0
g458	0	0	0
g459	3	150	163
g460	0	0	0
g461	0	0	0
g462	0	0	0
g463	0	0	0
g464	0	0	0
g465	0	0	0
g466	35	1750	193.89
g467	0	0	0
g468	27	1350	0.04
g469	9	450	139.56
g470	0	0	0
g471	0	0	0
g472	3	150	97
g473	79	3950	158.18
g474	0	0	0
g475	0	0	0
g476	0	0	0
g477	0	0	0
g478	0	0	0
g479	0	0	0
g480	51	2550	0.02
g481	0	0	0
g482	0	0	0
g483	53	2650	0.08
g484	0	0	0
g485	0	0	0
g486	8	400	0
g487	0	0	0
g488	2	100	0
g489	17	850	91
g490	0	0	0
g491	41	2050	0.22
g492	0	0	0
g493	68	3400	0.41
g494	0	0	0
g495	5	250	0
g496	0	0	0
g497	0	0	0
g498	0	0	0
g499	0	0	0
g500	0	0	0
g501	0	0	0
g502	107	5350	1.92
g503	0	0	0
g504	0	0	0
g505	14	700	2.43
g507	23	1150	0.52
g508	0	0	0
g509	0	0	0
g510	0	0	0
g511	0	0	0
g512	19	950	0
g513	31	1550	0.06
g514	0	0	0
g515	0	0	0
g516	0	0	0
g517	0	0	0
g518	0	0	0
g519	0	0	0
g520	0	0	0
g521	0	0	0
g522	60	3000	51.15
g523	0	0	0
g524	105	5250	0.21
g525	1	50	1
g526	6	300	0
g527	13	650	0
g528	17	850	0.12
g529	57	2850	0.07
g530	1	50	0
g531	60	3000	0.07
g532	57	2850	0.04
g533	81	4050	0.05
g534	2	100	0
g535	18	900	0.44
g536	17	850	0.24
tRNA-Ser26_gene	0	0	0
g537	0	0	0
g538	0	0	0
g539	17	850	0.94
g540	16	800	0.06
g541	0	0	0
g542	0	0	0
g543	0	0	0
g544	0	0	0
g545	0	0	0
g546	0	0	0
g547	0	0	0
g548	73	3650	0.14
g549	0	0	0
g550	0	0	0
g551	0	0	0
g552	11	550	29.45
g553	0	0	0
g554	0	0	0
g555	0	0	0
g556	38	1900	1.47
g557	71	3550	0.34
g558	12	600	0.25
g559	2	100	0
g560	29	1450	0.1
g561	0	0	0
g562	0	0	0
g563	0	0	0
g564	0	0	0
g565	0	0	0
g566	22	1100	58.64
g567	105	5250	0.15
g568	0	0	0
g569	35	1750	0
g570	8	400	0
g571	10	500	48.1
g572	0	0	0
g573	10	500	2.3
g574	0	0	0
g575	5	250	0.6
g576	20	1000	5.55
g577	1	50	78
g578	2	100	0
g579	0	0	0
g580	0	0	0
g581	0	0	0
g582	7	350	0.14
g583	92	4600	0.21
g584	50	2500	0.24
g585	3	150	2
g586	53	2650	0.09
g587	6	300	4.33
g588	0	0	0
g589	0	0	0
g590	0	0	0
g591	0	0	0
g592	0	0	0
g593	0	0	0
g594	0	0	0
g595	340	17000	9.18
g596	0	0	0
g597	0	0	0
g598	64	3200	145.53
g599	0	0	0
g600	0	0	0
g601	0	0	0
g602	23	1150	0.26
g603	6	300	0
g604	0	0	0
tRNA-Lys27_gene	4	200	0.5
tRNA-Lys28_gene	4	200	0
tRNA-Lys29_gene	4	200	8.25
tRNA-Lys30_gene	4	200	6.5
tRNA-Lys31_gene	1	50	11
tRNA-Lys32_gene	4	200	10.25
tRNA-Lys33_gene	4	200	10.25
tRNA-Lys34_gene	4	200	12.5
tRNA-Lys35_gene	0	0	0
g605	0	0	0
g606	0	0	0
g607	0	0	0
g608	0	0	0
g609	0	0	0
g610	13	650	264.85
g611	52	2600	314.71
g612	8	400	306.62
g613	0	0	0
g614	103	5150	0.11
g615	60	3000	0.1
g616	0	0	0
g617	0	0	0
g618	197	9850	0.25
g619	11	550	0
g620	2	100	119
g621	17	850	0.06
g622	53	2650	2.08
g623	73	3650	0.15
g624	0	0	0
g625	4	200	0
g626	58	2900	0.19
g627	93	4650	0.13
g628	112	5600	0.35
g629	1	50	0
g630	0	0	0
g631	0	0	0
g632	31	1550	0.23
g634	0	0	0
g635	0	0	0
g636	22	1100	14.41
g637	33	1650	0
g638	27	1350	0.07
g639	0	0	0
g640	13	650	0.08
g641	87	4350	0.13
g642	15	750	0.13
g643	0	0	0
g644	8	400	0.25
g645	0	0	0
g646	0	0	0
g647	0	0	0
g648	1	50	200
g649	5	250	0.4
g650	0	0	0
g651	8	400	0
g652	1	50	170
g653	5	250	0
g654	0	0	0
g655	0	0	0
g656	0	0	0
g657	32	1600	3.94
g658	6	300	138.33
g659	10	500	0.4
g660	12	600	191.08
g661	1	50	210
g662	12	600	193.17
g663	3	150	0
g664	51	2550	0.14
g665	27	1350	0.78
g666	147	7350	1.1
g667	7	350	1.71
g668	16	800	0.31
g669	0	0	0
g670	0	0	0
g671	0	0	0
g672	1	50	0
g673	0	0	0
g674	3	150	0
g675	0	0	0
g676	2	100	174
g677	12	600	0.08
g678	82	4100	0.22
g679	0	0	0
g680	0	0	0
g681	9	450	0
g682	72	3600	0.1
g683	0	0	0
g684	0	0	0
g685	0	0	0
g686	21	1050	0.33
g687	7	350	81.29
g688	0	0	0
g689	1	50	0
g690	3	150	0.33
g691	0	0	0
g692	0	0	0
g693	0	0	0
g694	30	1500	0.17
g695	15	750	23
g696	0	0	0
g697	0	0	0
g698	0	0	0
g699	16	800	0
g700	0	0	0
g701	19	950	0
g702	31	1550	0.45
g703	0	0	0
g704	0	0	0
g705	115	5750	0.12
g706	0	0	0
g707	25	1250	0.2
g708	4	200	1
g709	0	0	0
g710	12	600	0.17
g711	52	2600	0.1
g712	0	0	0
g713	0	0	0
g714	0	0	0
g715	0	0	0
g716	0	0	0
g717	0	0	0
g718	12	600	0.25
g719	17	850	0.06
g720	0	0	0
g721	0	0	0
g722	0	0	0
g723	26	1300	0.19
g724	37	1850	0.05
g725	5	250	0
g726	6	300	0
g727	18	900	0.06
g728	166	8300	3.01
g729	0	0	0
g730	0	0	0
g731	38	1900	145.76
g732	30	1500	137.9
g733	20	1000	159.2
g734	64	3200	138.41
g735	38	1900	1.87
g736	58	2900	83.34
g737	8	400	0
g738	68	3400	0.13
g739	8	400	179.88
g740	4	200	0
g741	39	1950	0.08
g742	1	50	0
g743	0	0	0
g744	40	2000	0.1
g745	8	400	0
g746	62	3100	0.05
g747	3	150	196.33
g748	0	0	0
g749	0	0	0
g751	0	0	0
g752	0	0	0
g753	0	0	0
g754	17	850	0.12
g755	1	50	0
g756	13	650	0
g757	21	1050	3.38
g758	111	5550	0.14
g759	0	0	0
g760	0	0	0
g761	0	0	0
g762	61	3050	0.16
g763	56	2800	0.04
g764	23	1150	0
g765	4	200	0
g766	222	11100	0.19
g767	0	0	0
g768	1	50	58
g769	67	3350	0.15
g770	0	0	0
g771	0	0	0
g772	0	0	0
g773	0	0	0
g774	0	0	0
g775	7	350	120.29
g776	29	1450	259.83
g777	0	0	0
g778	29	1450	0.21
g779	0	0	0
g780	36	1800	0.11
g781	0	0	0
g782	57	2850	0.86
g783	1	50	4
g784	0	0	0
g785	0	0	0
g786	0	0	0
g787	0	0	0
g788	0	0	0
g789	0	0	0
g790	0	0	0
g791	0	0	0
g792	14	700	0
g793	1	50	146
g794	0	0	0
g795	1	50	0
g796	1	50	0
g797	0	0	0
g798	30	1500	0.2
g799	44	2200	4.5
g800	30	1500	0.13
g801	35	1750	0
g802	8	400	1.62
g803	23	1150	0.26
g804	45	2250	0.56
g805	2	100	0
g806	20	1000	0.05
g807	20	1000	0.05
g808	0	0	0
g809	0	0	0
g810	0	0	0
g811	0	0	0
g812	1	50	0
g813	3	150	15
g814	65	3250	0.14
g815	21	1050	7.81
g816	32	1600	0.12
g817	28	1400	0.57
g818	0	0	0
g819	0	0	0
g820	300	15000	65.82
g821	38	1900	0.29
g822	8	400	0.12
g823	9	450	0.11
g824	31	1550	4.35
g825	0	0	0
g826	0	0	0
g827	0	0	0
g828	0	0	0
g829	1	50	0
g830	46	2300	90.76
g831	0	0	0
g832	0	0	0
g833	0	0	0
g834	7	350	0
g835	23	1150	26.61
g836	0	0	0
g837	0	0	0
g838	15	750	0
g839	5	250	0
g840	32	1600	0.06
g841	38	1900	0.05
g842	42	2100	0.1
g843	0	0	0
g844	85	4250	0.36
g845	0	0	0
g846	0	0	0
g847	0	0	0
g848	0	0	0
g849	0	0	0
g850	4	200	0
g851	185	9250	31.66
g852	0	0	0
g853	0	0	0
g854	0	0	0
g855	1	50	150
g856	3	150	128
g857	0	0	0
g858	0	0	0
g859	0	0	0
g860	0	0	0
g861	3	150	175
g862	10	500	54.3
g863	11	550	275.55
g864	1	50	189
g865	1	50	227
g866	0	0	0
g867	78	3900	3.35
g868	28	1400	0.14
g869	1	50	159
g870	6	300	82.17
g871	3	150	0
g872	9	450	0.33
g873	0	0	0
g874	0	0	0
g875	28	1400	51.39
g876	10	500	0.1
g877	68	3400	29.04
g878	17	850	0
g879	0	0	0
g880	0	0	0
g881	1	50	171
g882	0	0	0
g883	0	0	0
g884	97	4850	169.47
g885	0	0	0
g886	0	0	0
g887	50	2500	6.4
g888	0	0	0
g889	0	0	0
tRNA-Leu36_gene	0	0	0
g890	0	0	0
g891	0	0	0
g892	0	0	0
g893	0	0	0
g894	0	0	0
g895	61	3050	0.18
g896	0	0	0
g897	107	5350	65.17
g898	20	1000	0.2
g899	1	50	169
g900	24	1200	0.04
g901	168	8400	0.12
g902	20	1000	0
g903	3	150	0.33
g904	118	5900	4.07
g905	15	750	178.67
g906	0	0	0
g907	21	1050	0
g908	38	1900	2.16
g909	0	0	0
g910	5	250	0
g911	0	0	0
g912	0	0	0
g913	56	2800	0.09
g914	42	2100	0.05
g915	0	0	0
g916	0	0	0
g917	0	0	0
g918	0	0	0
tRNA-Arg38_gene	0	0	0
tRNA-Arg37_gene	0	0	0
g919	37	1850	0.16
g920	0	0	0
g921	13	650	0.38
g922	149	7450	0.1
g923	0	0	0
g924	0	0	0
g925	36	1800	0.78
g926	0	0	0
g927	0	0	0
g928	0	0	0
g929	24	1200	0.04
g930	0	0	0
g931	26	1300	3.65
g932	0	0	0
g933	26	1300	0.08
g934	0	0	0
g935	21	1050	0.76
g936	141	7050	1.3
g937	0	0	0
g938	0	0	0
g939	75	3750	0.09
g940	14	700	0.07
g941	34	1700	0.09
g942	18	900	0.5
g943	0	0	0
g944	0	0	0
g945	0	0	0
g946	0	0	0
g947	0	0	0
g948	0	0	0
g949	0	0	0
g950	0	0	0
g951	0	0	0
g952	53	2650	1.43
g953	7	350	0.14
g954	48	2400	0.06
g955	1	50	186
g956	1	50	42
g957	0	0	0
g958	135	6750	2.78
g959	3	150	0.33
g960	23	1150	0.09
g961	0	0	0
g962	175	8750	0.29
g963	24	1200	0
g964	56	2800	0.07
g965	19	950	0.21
g966	20	1000	0.65
g967	0	0	0
g968	0	0	0
g969	47	2350	35.94
g970	35	1750	68.57
g971	47	2350	95.64
g972	19	950	68.84
g973	0	0	0
g974	77	3850	2.4
g975	0	0	0
g976	0	0	0
g977	0	0	0
g978	3	150	174.33
g979	9	450	0.11
g980	197	9850	0.08
g981	3	150	0
g982	50	2500	33.28
g983	42	2100	1.76
g984	0	0	0
g985	0	0	0
g986	11	550	1.82
g987	73	3650	0.19
g988	24	1200	0.12
g989	110	5500	24.95
g990	0	0	0
g991	0	0	0
g992	0	0	0
g993	0	0	0
g994	54	2700	0.02
g995	111	5550	0.09
g996	0	0	0
g997	79	3950	0.1
g998	0	0	0
g999	8	400	0
g1000	162	8100	0.19
g1001	0	0	0
g1002	0	0	0
g1003	0	0	0
g1004	43	2150	20.58
g1005	20	1000	57.3
g1006	98	4900	0.1
g1007	0	0	0
g1008	52	2600	0.12
g1009	34	1700	0.12
g1010	8	400	0.12
g1011	132	6600	0.17
g1012	126	6300	0.06
g1013	36	1800	0.08
g1014	0	0	0
g1015	1	50	159
g1016	0	0	0
g1017	0	0	0
g1018	0	0	0
g1019	86	4300	0.72
g1020	0	0	0
g1021	0	0	0
g1022	0	0	0
g1023	0	0	0
g1024	0	0	0
g1025	0	0	0
g1026	14	700	0.07
g1027	0	0	0
g1028	26	1300	0.12
g1029	0	0	0
g1030	0	0	0
g1031	0	0	0
g1032	0	0	0
g1033	0	0	0
g1034	8	400	0
g1035	4	200	0
g1036	9	450	0
g1037	0	0	0
g1038	178	8900	65.61
g1039	15	750	0.07
g1040	19	950	0.26
g1041	93	4650	0.04
g1042	0	0	0
g1043	8	400	0.12
g1044	93	4650	0.09
g1045	16	800	0.06
g1046	15	750	11
g1047	33	1650	0.03
g1048	0	0	0
g1049	10	500	158.5
g1050	3	150	194.33
g1051	72	3600	0.1
g1052	37	1850	0.16
g1053	0	0	0
g1054	0	0	0
g1055	0	0	0
g1056	0	0	0
g1057	0	0	0
g1058	1	50	139
g1059	7	350	0
g1060	0	0	0
g1061	0	0	0
g1062	0	0	0
g1063	7	350	1.43
g1064	33	1650	0.94
g1065	0	0	0
g1066	40	2000	0.07
g1067	191	9550	0.97
g1068	174	8700	0.96
g1069	0	0	0
g1070	0	0	0
g1071	2	100	0
g1072	66	3300	0.8
g1073	1	50	175
g1074	0	0	0
g1075	0	0	0
g1076	0	0	0
g1077	63	3150	0.06
g1078	0	0	0
g1079	0	0	0
g1080	33	1650	0.61
g1081	0	0	0
g1082	0	0	0
g1083	0	0	0
g1084	53	2650	299.53
g1085	30	1500	324.17
g1086	0	0	0
g1087	0	0	0
g1088	243	12150	3.15
g1089	0	0	0
g1090	62	3100	3.84
g1091	0	0	0
g1092	0	0	0
g1093	6	300	0.17
g1094	0	0	0
g1095	16	800	162.69
g1096	0	0	0
g1097	55	2750	0.64
g1098	0	0	0
g1099	19	950	0.05
g1100	8	400	25
g1101	0	0	0
g1102	0	0	0
g1103	1	50	0
g1104	0	0	0
g1105	6	300	0
g1106	0	0	0
g1107	0	0	0
g1108	19	950	0
g1109	0	0	0
g1110	0	0	0
g1111	8	400	0.12
g1112	0	0	0
g1113	4	200	0
g1114	2	100	0
g1115	0	0	0
g1116	57	2850	0.12
g1117	0	0	0
g1118	2	100	0
g1119	0	0	0
g1120	3	150	0
g1121	41	2050	0.15
g1122	14	700	0.07
g1123	83	4150	0.1
g1124	10	500	0.1
g1125	97	4850	0.36
g1126	0	0	0
g1127	0	0	0
g1128	0	0	0
g1129	0	0	0
tRNA-Ala52_gene	0	0	0
g1130	0	0	0
g1131	0	0	0
g1132	9	450	12.78
g1133	0	0	0
g1134	0	0	0
g1135	0	0	0
g1136	0	0	0
g1137	0	0	0
g1138	82	4100	0.29
g1139	1	50	1
g1140	26	1300	0.81
g1141	6	300	20.17
g1142	0	0	0
g1143	0	0	0
g1144	3	150	2
g1145	0	0	0
g1146	0	0	0
g1147	5	250	0
g1148	39	1950	0.08
g1149	1	50	0
g1150	26	1300	15.85
g1151	138	6900	0.82
g1152	0	0	0
g1153	0	0	0
g1154	0	0	0
g1155	1	50	248
g1156	0	0	0
g1157	0	0	0
g1158	0	0	0
g1159	0	0	0
g1160	5	250	0
g1161	47	2350	13.51
g1162	15	750	56.33
g1163	25	1250	0.16
g1164	1	50	0
g1165	0	0	0
g1166	0	0	0
g1167	0	0	0
g1168	0	0	0
g1169	112	5600	0.3
g1170	10	500	0
g1171	3	150	0.33
g1172	0	0	0
g1173	106	5300	5.67
g1174	0	0	0
g1175	0	0	0
g1176	6	300	0.17
g1177	0	0	0
g1178	1	50	158
g1179	0	0	0
g1180	0	0	0
g1181	9	450	0.11
g1182	11	550	0
g1183	0	0	0
g1184	6	300	0
g1185	0	0	0
g1186	0	0	0
g1187	108	5400	0.07
g1188	10	500	82.7
g1189	35	1750	0.09
g1190	3	150	0
g1191	12	600	0
g1192	21	1050	0.1
g1193	1	50	0
g1194	6	300	0
g1195	100	5000	0.23
g1196	40	2000	0.03
g1197	47	2350	0.21
g1198	443	22150	0.41
g1199	46	2300	1.89
g1200	25	1250	0.16
g1201	0	0	0
g1202	0	0	0
g1203	0	0	0
g1204	0	0	0
g1205	0	0	0
g1206	2	100	0
g1207	0	0	0
g1208	0	0	0
g1209	15	750	4.47
tRNA-Tyr51_gene	0	0	0
g1210	0	0	0
g1211	1	50	0
g1212	0	0	0
g1213	91	4550	0.04
g1214	5	250	0
g1215	0	0	0
g1216	0	0	0
g1217	19	950	0.05
g1218	75	3750	0.04
g1219	7	350	0.43
g1220	0	0	0
tRNA-Leu39_gene	0	0	0
tRNA-Leu40_gene	0	0	0
tRNA-Leu41_gene	0	0	0
tRNA-Leu42_gene	0	0	0
tRNA-Leu43_gene	0	0	0
tRNA-Leu44_gene	3	150	0.33
tRNA-Leu45_gene	6	300	0
tRNA-Leu46_gene	4	200	0
tRNA-Leu47_gene	6	300	0.33
tRNA-Leu48_gene	0	0	0
tRNA-Leu49_gene	0	0	0
tRNA-Leu50_gene	0	0	0
g1221	0	0	0
g1222	0	0	0
g1223	0	0	0
g1224	0	0	0
g1225	0	0	0
g1226	102	5100	0.05
g1227	77	3850	0.13
g1228	128	6400	0.18
g1229	26	1300	0
g1230	0	0	0
g1231	54	2700	4.06
g1232	46	2300	4.5
g1233	0	0	0
g1234	4	200	0
g1235	0	0	0
g1236	17	850	0
g1237	7	350	188.86
g1238	48	2400	3.54
g1239	12	600	1.42
g1240	12	600	58
g1241	2	100	1
g1242	10	500	0.1
g1243	1	50	202
g1244	1	50	0
g1245	7	350	0
g1246	9	450	169.78
g1247	7	350	27.43
g1248	0	0	0
g1249	4	200	0
g1250	11	550	0.18
g1251	11	550	0.18
g1252	1	50	0
g1253	19	950	0.05
g1254	0	0	0
g1255	0	0	0
g1256	2	100	0
g1257	0	0	0
g1258	0	0	0
g1259	0	0	0
g1260	12	600	0.08
g1261	15	750	0.6
g1262	1	50	0
g1263	0	0	0
g1264	0	0	0
g1265	0	0	0
g1266	6	300	3
g1267	15	750	0.2
g1268	44	2200	3.14
g1269	15	750	0.53
g1270	9	450	1.22
g1271	3	150	0
